Time resolution is 1 ps
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 162: Timing violation in scope /tb_top/dut/FSM_onehot_state_reg[3]/TChk162_47692 at time 1403396 ps $recrem (posedge CLR,posedge C,(0:0:0),(0:0:0),notifier,rst_clk_enable_p,rst_clk_enable_p,CLR_dly,C_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1458438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1468438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1478438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1488438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1498438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1508438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1518438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1528438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1538438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1548438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1558438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1568438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 1578438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 1588438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
